"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.B","log2fold_change","Auc"
"3","gene_15","hurdle",0.000247442869547078,12.88109,13.49667,0.61558,0.997
"4","gene_18","hurdle",4.05657194650656e-05,12.78086,13.47609,0.695229999999999,0.99
"1","gene_10","hurdle",0.000471665213455241,12.80504,13.39527,0.59023,0.972
"2","gene_14","hurdle",0.00246510024431392,12.90777,13.42441,0.516640000000001,0.952
